[23:27:25] [INFO] received Windows console close event; shutting log-core down
[11:54:03] [INFO] received Windows console close event; shutting log-core down
[12:00:14] [INFO] received Windows console close event; shutting log-core down
[12:15:45] [INFO] received Windows console close event; shutting log-core down
[12:32:02] [INFO] received Windows console close event; shutting log-core down
[12:37:02] [INFO] received Windows console close event; shutting log-core down
[12:39:58] [INFO] received Windows console close event; shutting log-core down
[12:45:53] [INFO] received Windows console close event; shutting log-core down
[12:48:57] [INFO] received Windows console close event; shutting log-core down
[12:52:41] [INFO] received Windows console close event; shutting log-core down
[12:53:31] [INFO] received Windows console close event; shutting log-core down
[12:54:54] [INFO] received Windows console close event; shutting log-core down
[13:05:39] [INFO] received Windows console close event; shutting log-core down
[13:06:49] [INFO] received Windows console close event; shutting log-core down
[13:07:37] [INFO] received Windows console close event; shutting log-core down
[13:13:34] [INFO] received Windows console close event; shutting log-core down
[13:17:44] [INFO] received Windows console close event; shutting log-core down
[13:20:32] [INFO] received Windows console close event; shutting log-core down
[13:25:44] [INFO] received Windows console close event; shutting log-core down
[13:39:47] [INFO] received Windows console close event; shutting log-core down
[13:54:48] [INFO] received Windows console close event; shutting log-core down
[14:45:21] [INFO] received Windows console close event; shutting log-core down
[14:47:05] [INFO] received Windows console close event; shutting log-core down
[14:52:02] [INFO] received Windows console close event; shutting log-core down
[14:54:53] [INFO] received Windows console close event; shutting log-core down
[14:58:39] [INFO] received Windows console close event; shutting log-core down
[15:01:20] [INFO] received Windows console close event; shutting log-core down
[15:26:15] [INFO] received Windows console close event; shutting log-core down
[15:29:05] [INFO] received Windows console close event; shutting log-core down
[19:50:16] [INFO] received Windows console close event; shutting log-core down
[19:51:50] [INFO] received Windows console close event; shutting log-core down
[19:52:14] [INFO] received Windows console close event; shutting log-core down
[19:52:48] [INFO] received Windows console close event; shutting log-core down
[19:53:56] [INFO] received Windows console close event; shutting log-core down
[20:00:46] [INFO] received Windows console close event; shutting log-core down
[19:03:51] [INFO] received Windows console close event; shutting log-core down
[19:07:25] [INFO] received Windows console close event; shutting log-core down
[15:28:09] [INFO] received Windows console close event; shutting log-core down
[22:33:43] [INFO] received Windows console close event; shutting log-core down
[21:05:41] [INFO] received Windows console close event; shutting log-core down
[18:40:41] [INFO] received Windows console close event; shutting log-core down
[18:41:31] [INFO] received Windows console close event; shutting log-core down
[18:43:32] [INFO] received Windows console close event; shutting log-core down
[18:47:06] [INFO] received Windows console close event; shutting log-core down
[18:51:32] [INFO] received Windows console close event; shutting log-core down
[18:53:30] [INFO] received Windows console close event; shutting log-core down
[18:54:31] [INFO] received Windows console close event; shutting log-core down
[18:59:06] [INFO] received Windows console close event; shutting log-core down
[19:06:36] [INFO] received Windows console close event; shutting log-core down
[19:14:17] [INFO] received Windows console close event; shutting log-core down
[19:16:03] [INFO] received Windows console close event; shutting log-core down
[19:19:02] [INFO] received Windows console close event; shutting log-core down
[19:22:05] [INFO] received Windows console close event; shutting log-core down
[19:22:41] [INFO] received Windows console close event; shutting log-core down
[19:25:50] [INFO] received Windows console close event; shutting log-core down
[19:30:37] [INFO] received Windows console close event; shutting log-core down
[19:31:10] [INFO] received Windows console close event; shutting log-core down
[19:33:00] [INFO] received Windows console close event; shutting log-core down
[19:35:46] [INFO] received Windows console close event; shutting log-core down
[19:37:58] [INFO] received Windows console close event; shutting log-core down
[19:38:29] [INFO] received Windows console close event; shutting log-core down
[19:39:38] [INFO] received Windows console close event; shutting log-core down
[22:00:00] [INFO] received Windows console close event; shutting log-core down
[22:00:30] [INFO] received Windows console close event; shutting log-core down
[22:10:32] [INFO] received Windows console close event; shutting log-core down
[22:11:04] [INFO] received Windows console close event; shutting log-core down
[22:11:37] [INFO] received Windows console close event; shutting log-core down
[22:12:17] [INFO] received Windows console close event; shutting log-core down
[22:14:35] [INFO] received Windows console close event; shutting log-core down
[22:35:20] [INFO] received Windows console close event; shutting log-core down
[22:41:18] [INFO] received Windows console close event; shutting log-core down
[22:50:29] [INFO] received Windows console close event; shutting log-core down
[23:01:47] [INFO] received Windows console close event; shutting log-core down
[23:02:14] [INFO] received Windows console close event; shutting log-core down
[23:06:02] [INFO] received Windows console close event; shutting log-core down
[23:07:58] [INFO] received Windows console close event; shutting log-core down
[23:09:27] [INFO] received Windows console close event; shutting log-core down
[23:16:27] [INFO] received Windows console close event; shutting log-core down
[23:16:29] [INFO] received Windows console close event; shutting log-core down
[00:09:05] [INFO] received Windows console close event; shutting log-core down
[00:16:04] [INFO] received Windows console close event; shutting log-core down
[00:22:04] [INFO] received Windows console close event; shutting log-core down
[00:31:50] [INFO] received Windows console close event; shutting log-core down
[00:35:58] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:38:32] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:59:12] [INFO] received Windows console close event; shutting log-core down
[01:20:19] [INFO] received Windows console close event; shutting log-core down
[13:00:22] [INFO] received Windows console close event; shutting log-core down
[13:02:00] [INFO] received Windows console close event; shutting log-core down
[13:03:19] [INFO] received Windows console close event; shutting log-core down
[13:04:26] [INFO] received Windows console close event; shutting log-core down
[13:10:38] [INFO] received Windows console close event; shutting log-core down
[13:10:59] [INFO] received Windows console close event; shutting log-core down
[13:24:24] [INFO] received Windows console close event; shutting log-core down
[13:30:24] [INFO] received Windows console close event; shutting log-core down
[13:31:24] [INFO] received Windows console close event; shutting log-core down
[13:32:22] [INFO] received Windows console close event; shutting log-core down
[13:35:07] [INFO] received Windows console close event; shutting log-core down
[13:36:10] [INFO] received Windows console close event; shutting log-core down
[13:49:19] [INFO] received Windows console close event; shutting log-core down
[13:54:24] [INFO] received Windows console close event; shutting log-core down
[13:55:45] [INFO] received Windows console close event; shutting log-core down
[13:55:56] [INFO] received Windows console close event; shutting log-core down
[13:56:23] [INFO] received Windows console close event; shutting log-core down
[13:59:05] [INFO] received Windows console close event; shutting log-core down
[14:02:02] [INFO] received Windows console close event; shutting log-core down
[14:03:22] [INFO] received Windows console close event; shutting log-core down
[14:06:22] [INFO] received Windows console close event; shutting log-core down
[14:09:28] [INFO] received Windows console close event; shutting log-core down
[14:23:56] [INFO] received Windows console close event; shutting log-core down
[14:24:19] [INFO] received Windows console close event; shutting log-core down
[14:24:40] [INFO] received Windows console close event; shutting log-core down
[15:03:36] [INFO] received Windows console close event; shutting log-core down
[15:05:45] [INFO] received Windows console close event; shutting log-core down
[15:07:51] [INFO] received Windows console close event; shutting log-core down
[15:08:31] [INFO] received Windows console close event; shutting log-core down
[15:09:06] [INFO] received Windows console close event; shutting log-core down
[15:13:11] [INFO] received Windows console close event; shutting log-core down
[15:15:16] [INFO] received Windows console close event; shutting log-core down
[15:17:01] [INFO] received Windows console close event; shutting log-core down
[15:20:03] [INFO] received Windows console close event; shutting log-core down
[15:20:45] [INFO] received Windows console close event; shutting log-core down
[15:21:32] [INFO] received Windows console close event; shutting log-core down
[15:21:48] [INFO] received Windows console close event; shutting log-core down
[15:22:24] [INFO] received Windows console close event; shutting log-core down
[15:22:51] [INFO] received Windows console close event; shutting log-core down
[15:23:31] [INFO] received Windows console close event; shutting log-core down
[15:24:44] [INFO] received Windows console close event; shutting log-core down
[15:25:21] [INFO] received Windows console close event; shutting log-core down
[15:26:22] [INFO] received Windows console close event; shutting log-core down
[15:27:41] [INFO] received Windows console close event; shutting log-core down
[15:28:08] [INFO] received Windows console close event; shutting log-core down
[15:29:27] [INFO] received Windows console close event; shutting log-core down
[15:29:37] [INFO] received Windows console close event; shutting log-core down
[15:29:59] [INFO] received Windows console close event; shutting log-core down
[15:30:25] [INFO] received Windows console close event; shutting log-core down
[15:30:46] [INFO] received Windows console close event; shutting log-core down
[15:31:22] [INFO] received Windows console close event; shutting log-core down
[15:31:44] [INFO] received Windows console close event; shutting log-core down
[15:32:03] [INFO] received Windows console close event; shutting log-core down
[15:33:02] [INFO] received Windows console close event; shutting log-core down
[15:33:29] [INFO] received Windows console close event; shutting log-core down
[15:34:03] [INFO] received Windows console close event; shutting log-core down
[15:35:18] [INFO] received Windows console close event; shutting log-core down
[15:36:32] [INFO] received Windows console close event; shutting log-core down
[15:38:06] [INFO] received Windows console close event; shutting log-core down
[16:22:48] [INFO] received Windows console close event; shutting log-core down
[16:23:21] [INFO] received Windows console close event; shutting log-core down
[16:30:08] [INFO] received Windows console close event; shutting log-core down
[16:31:45] [INFO] received Windows console close event; shutting log-core down
[16:34:29] [INFO] received Windows console close event; shutting log-core down
[16:38:03] [INFO] received Windows console close event; shutting log-core down
[16:41:27] [INFO] received Windows console close event; shutting log-core down
[16:48:36] [INFO] received Windows console close event; shutting log-core down
[16:54:15] [INFO] received Windows console close event; shutting log-core down
[17:02:52] [INFO] received Windows console close event; shutting log-core down
[17:05:17] [INFO] received Windows console close event; shutting log-core down
[17:05:43] [INFO] received Windows console close event; shutting log-core down
[17:06:15] [INFO] received Windows console close event; shutting log-core down
[17:09:12] [INFO] received Windows console close event; shutting log-core down
[17:09:37] [INFO] received Windows console close event; shutting log-core down
[17:10:07] [INFO] received Windows console close event; shutting log-core down
[17:13:37] [INFO] received Windows console close event; shutting log-core down
[17:14:37] [INFO] received Windows console close event; shutting log-core down
[17:17:20] [INFO] received Windows console close event; shutting log-core down
[17:21:25] [INFO] received Windows console close event; shutting log-core down
[17:24:22] [INFO] received Windows console close event; shutting log-core down
[17:25:07] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:25:50] [INFO] received Windows console close event; shutting log-core down
[18:49:23] [INFO] received Windows console close event; shutting log-core down
[18:56:14] [INFO] received Windows console close event; shutting log-core down
[19:24:55] [INFO] received Windows console close event; shutting log-core down
[19:27:57] [INFO] received Windows console close event; shutting log-core down
[19:33:33] [INFO] received Windows console close event; shutting log-core down
[19:39:22] [INFO] received Windows console close event; shutting log-core down
[23:01:03] [INFO] received Windows console close event; shutting log-core down
[23:01:44] [INFO] received Windows console close event; shutting log-core down
[23:02:50] [INFO] received Windows console close event; shutting log-core down
[23:04:37] [INFO] received Windows console close event; shutting log-core down
[23:09:01] [INFO] received Windows console close event; shutting log-core down
[23:32:58] [INFO] received Windows console close event; shutting log-core down
[23:33:29] [INFO] received Windows console close event; shutting log-core down
[23:37:50] [INFO] received Windows console close event; shutting log-core down
[23:38:28] [INFO] received Windows console close event; shutting log-core down
[23:39:27] [INFO] received Windows console close event; shutting log-core down
[23:40:30] [INFO] received Windows console close event; shutting log-core down
[23:41:01] [INFO] received Windows console close event; shutting log-core down
[23:41:26] [INFO] received Windows console close event; shutting log-core down
[23:43:40] [INFO] received Windows console close event; shutting log-core down
[23:44:03] [INFO] received Windows console close event; shutting log-core down
[23:48:50] [INFO] received Windows console close event; shutting log-core down
[23:49:19] [INFO] received Windows console close event; shutting log-core down
[23:51:51] [INFO] received Windows console close event; shutting log-core down
[23:54:23] [INFO] received Windows console close event; shutting log-core down
[23:54:54] [INFO] received Windows console close event; shutting log-core down
[00:03:45] [INFO] received Windows console close event; shutting log-core down
[00:04:09] [INFO] received Windows console close event; shutting log-core down
[00:04:31] [INFO] received Windows console close event; shutting log-core down
[00:04:53] [INFO] received Windows console close event; shutting log-core down
[00:05:14] [INFO] received Windows console close event; shutting log-core down
[00:09:03] [INFO] received Windows console close event; shutting log-core down
[00:13:57] [INFO] received Windows console close event; shutting log-core down
[00:14:24] [INFO] received Windows console close event; shutting log-core down
[00:14:44] [INFO] received Windows console close event; shutting log-core down
[00:15:12] [INFO] received Windows console close event; shutting log-core down
[00:15:33] [INFO] received Windows console close event; shutting log-core down
[14:51:16] [INFO] received Windows console close event; shutting log-core down
[15:22:28] [INFO] received Windows console close event; shutting log-core down
[15:32:11] [INFO] received Windows console close event; shutting log-core down
